,type
0,comment
1,comment
2,story
3,comment
4,comment
5,comment
6,comment
7,comment
8,comment
9,comment
10,comment
11,comment
12,comment
13,comment
14,comment
15,comment
16,comment
17,comment
18,comment
19,comment
20,comment
21,comment
22,comment
23,comment
24,comment
25,comment
26,comment
27,comment
28,comment
29,comment
30,comment
31,comment
32,comment
33,comment
34,comment
35,comment
36,comment
37,comment
38,comment
39,comment
40,comment
41,comment
42,comment
43,comment
44,comment
45,comment
46,comment
47,comment
48,story
49,comment
50,comment
51,comment
52,comment
53,comment
54,comment
55,story
56,comment
57,comment
58,comment
59,comment
60,comment
61,comment
62,comment
63,comment
64,comment
65,comment
66,story
67,comment
68,comment
69,comment
70,comment
71,story
72,comment
73,comment
74,comment
75,comment
76,story
77,comment
78,story
79,comment
80,comment
81,comment
82,comment
83,comment
84,comment
85,comment
86,comment
87,story
88,comment
89,comment
90,comment
91,comment
92,comment
93,comment
94,comment
95,comment
96,comment
97,comment
98,comment
99,comment
100,story
101,comment
102,comment
103,story
104,story
105,comment
106,comment
107,comment
