,type
0,story
1,comment
2,comment
3,story
4,comment
5,comment
6,comment
7,comment
8,comment
9,comment
10,comment
11,story
12,comment
13,comment
14,comment
15,comment
16,comment
17,comment
18,comment
19,comment
20,comment
21,comment
22,comment
23,comment
24,comment
25,story
26,comment
27,comment
28,comment
29,comment
30,comment
31,comment
32,comment
33,comment
34,comment
35,comment
36,comment
37,comment
38,comment
39,comment
40,comment
41,comment
42,comment
43,comment
44,comment
45,comment
46,comment
47,comment
48,comment
49,story
50,comment
51,comment
52,story
53,comment
54,comment
55,story
56,comment
57,comment
58,comment
59,comment
60,comment
61,comment
62,story
63,story
64,comment
65,comment
66,comment
67,comment
68,comment
69,comment
70,comment
71,comment
72,comment
73,comment
74,story
75,comment
76,comment
77,comment
78,comment
79,comment
80,comment
81,comment
82,comment
83,comment
84,comment
85,comment
86,story
87,comment
88,comment
89,story
90,comment
91,comment
92,comment
93,comment
94,story
95,comment
96,comment
97,comment
98,comment
99,comment
100,comment
