,name,description,category
0,Add a Meat=>Side of Bacon,Add an extra side of meat,Sides + Extras
1,Add a Meat=>Side of House Roasted Chicken,Add an extra side of meat,Sides + Extras
2,Add a Meat=>Side of Italian Sausage,Add an extra side of meat,Sides + Extras
3,Add a Meat=>Side of Meatballs,Add an extra side of meat,Sides + Extras
4,Add a Meat=>Side of Spicy Sausage,Add an extra side of meat,Sides + Extras
5,Add a Veggie=>Side of Garlic Roasted Mushrooms,Add an extra portion of veggies,Sides + Extras
6,Add a Veggie=>Side of Marinated Tomatoes,Add an extra portion of veggies,Sides + Extras
7,Add a Veggie=>Side of Parmesan Roasted Broccoli,Add an extra portion of veggies,Sides + Extras
8,Baked Lasagna,Lasagna layered with Meat Sauce and Mozzarella and Provolone Cheeses.,Fan Favorites
9,Baked Spaghetti,"Spaghetti with Marinara Sauce loaded with Mozzarella Cheese and baked to a golden, bubbly perfection.","['Vegetarian Options', 'Fan Favorites/Vegetarian Options', 'Fan Favorites']"
10,Baked Spaghetti with Meatballs,"Spaghetti with Marinara Sauce loaded with Mozzarella Cheese and baked to a golden, bubbly perfection topped with Meatballs.",Fan Favorites
11,Baked Ziti,"Penne with Marinara and Meat Sauce topped with Mozzarella and Provolone Cheeses and baked to a golden, bubbly perfection.",Fan Favorites
12,Blackened Chicken Caesar Salad,"Romaine lettuce topped with grape tomatoes, chopped bacon, blackened chicken, shaved Parmesan and croutons.",New Items and Specials
13,Blackened Shrimp and Chicken Bake,"Shrimp simmered in a smoky gouda cheese sauce with blackened chicken, fire-roasted red peppers on top of orecchiette pasta and baked with mozzarella and gouda cheese.",New Items and Specials
14,Brownie,Chewy Chocolate Brownie Made with Ghirardelli Chocolate.,Drinks + Desserts
15,Caesar Side Salad,Romaine topped with shaved Parmesan and crunchy Focaccia croutons. Served with our Signature Caesar dressing.,"['Subs + Salads/Sides + Extras', 'Subs + Salads', 'Sides + Extras']"
16,"Cheese Pizza, Double Slice",2 Slices of Pizza Topped with Fazoli's Pizza Sauce and a blend of Mozzarella and Provolone Cheeses.,"['Pizzas/Vegetarian Options', 'Vegetarian Options', 'Pizzas']"
17,Chicken Bacon Caesar,"Romaine topped with Oven-Roasted chicken, Bacon, Vine-Ripened Grape Tomatoes, and Shaved Parmesan in our Signature Caesar dressing.",Subs + Salads
18,Chicken Broccoli Penne,"Chicken, Broccoli, Roasted Grape Tomatoes, Alfredo Sauce, Mozzarella, Provolone and Parmesan Cheeses.",Signature Bakes
19,Chicken Carbonara,"Spaghetti topped with creamy Alfredo sauce with hand-chopped bacon, roasted chicken, Parmesan-roasted broccoli, and peas.  Topped with freshly ground black pepper and Parmesan cheese.",Specialty Pastas
20,Chicken Parmigiano,"Spaghetti covered in Marinara Sauce with Crispy Chicken Breast covered with Alfredo Sauce, Mozzarella and Provolone Cheeses and baked.",Signature Bakes
21,Chocolate Chunk Cookie,Soft and Chewy Chocolate Chunk Cookie.,Drinks + Desserts
22,Classic Sampler,"Fettuccine Alfredo, Lasagna with Meat Sauce and Spaghetti and Meatball.",Pasta Samplers
23,Fettuccine,Fettuccine + Sauce,Fan Favorites
24,Four Chocolate Chunk Cookies,4 Soft and Chewy Chocolate Chunk Cookies.,Drinks + Desserts
25,Fresh Tossed & Oven Baked Duo,"Choice of one Fresh-Tossed Pasta (Spaghetti with meat or marinara, Fettuccine Alfredo) & one Oven-Baked Pasta (Baked Spaghetti, Baked Ziti, Baked Lasagna, Chicken Parmigiano)",Family Meals
26,Fresh Tossed Duo,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,Family Meals
27,Fresh-Brewed Iced Tea,Enjoy the refreshing taste of fresh-brewed Gold Peak® Iced Tea.,Drinks + Desserts
28,House Side Salad,"Romaine lettuce blend topped with Grape Tomatoes, Shredded Mozzarella and Cheddar, Red Cabbage, Shredded Carrots, served with your choice of dressing.","['Subs + Salads', 'Subs + Salads/Vegetarian Options/Sides + Extras', 'Sides + Extras']"
29,House Side Salad,"Romaine lettuce blend topped with grape tomatoes, red onion and shredded Mozzarella Cheese. Served with your choice of dressing.",Vegetarian Options
30,Italian Lemon Ice,"Choose from Original Italian Lemon Ice, Strawberry, or Blue Raspberry",Drinks + Desserts
31,Kids Cheese Pizza Slice,Slice of Cheese Pizza and drink.,Kids Meals
32,Kids Fettuccine,Kids Fettuccine with choice of sauce and drink.,Kids Meals
33,Kids Penne,Kids Penne with choice of sauce and drink.,Kids Meals
34,Kids Pepperoni Pizza Slice,Slice of Pepperoni Pizza and drink.,Kids Meals
35,Kids Ravioli,Kids Ravioli with choice of sauce and drink.,Kids Meals
36,Kids Spaghetti,Kids Spaghetti with choice of sauce and drink.,Kids Meals
37,Kids Tortellini,Kids Tortellini with choice of sauce and drink.,Kids Meals
38,Kids Whole Grain Rotini,Kids Whole Grain Rotini with choice of sauce and drink.,Kids Meals
39,Make it a Meal,Add a Small Drink & Pizza Slice or House/Caesar Side Salad to Any Entree.,Sides + Extras
40,Meatball da Vinci,"Fazoli's Famous Meatballs, Pepperoni, and melted sliced Mozzarella cheese on a toasted Garlic Roll.",Subs + Salads
41,New York Style Cheesecake,Graham cracker crust filled with rich and creamy New York Style Cheesecake and Strawberry Topping.,Drinks + Desserts
42,Oven-Baked Classic Sampler,"Fettuccine Alfredo, Lasagna with Meat Sauce, Spaghetti and Meatball baked with Mozzarella & Provolone Cheeses.",Pasta Samplers
43,Penne,Penne + Sauce,Fan Favorites
44,Penne Creamy Basil Chicken,"Chicken, Roasted Grape Tomatoes, Alfredo Sauce, Creamy Basil Sauce, Mozzarella, Provolone and Parmesan Cheeses.",Signature Bakes
