,organisation,description,address
0,Maggin Development Consultancy Group,"MDCG was founded by a group of 13 like-minded individuals who share common vision and aspirations for a peaceful and modern Myanmar. The renewed fighting in Kachin State in 2011/2012 and the slow response by the international community brought the group – back then many of them were simply private donors – together in an effort to join forces to alleviate the suffering caused to the thousands of innocent civilians affected by the conflict.The diverse background and wide-range of technical expertise of the core group has provided MDCG with a unique multi-ethnic and multi-sectoral make-up and a sound programming foundation. Most members of the founding group and the current staff have years of experience working in humanitarian and development programs in rural Myanmar at grass-roots level. Their work and program conception are guided by humanitarian principles, rights based approach, international norms and standards, and well adapted to local context and culture. MDCG staff comprises of a well-balanced pool of experienced social workers with community development experiences from several years of working with INGOs and/or LNGOs, and retired persons of government departments with extensive networks and financial management skills. The diversity and strong professional competences of staff has helped MDCG to gain momentum and to transition from a low profile CBO to a full profile NGO.While saving lives and alleviating immediate suffering are first priority of MDCG intervention, MDCG recognizes the urgent need for more advanced and sustainable development in remote villages, especially in ethnic minority areas that have been neglected for so many decades. So, to achieve highest impact of recovery, MDCG aims to accompany all relief efforts with livelihoods and infrastructure rehabilitation in integrated fashion. MDCG staff is dedicated to help people in these remote areas and challenging environments and therefore are principally based in the field. Similar to CBOs, MDCG field staff work through community networks (women’s associations, volunteer groups, VDC, etc) to strengthen their capacity and community ownership of the project. Community participation and contribution play an integral element in MDCG conception and implementation of projects.","Yadanar Myaing Street, Kamayut Township, Yangon, Yangon, Myanmar"
1,Youth Pacemaker Organization,Participation in Good Governance,"Mandalay Region, Myanmar (Burma)"
2,Helping Hands Myanmar,"Helping Hands Organization has experiences of training on enhancing capacity of community leaders’ democracy and human rights with the support of Paung Ku in 2012. In 2013, Helping Hands organization received People In Need (PIN)’s fund to provide Civic Education and Political awareness trainings and organize workshop and community level platform for 10 times. In resulting of strong participation and coordination of community leaders and strong networking, community based organizations (CSOs) as such Mwe Taung local development group and Nan Lui Kual local development organizations come out. Currently, Myay Taung Local development group are taking a leading role on land issues of Mwe Taung Red Copper project and Chin State and Sagaing Boundary problems. Then, Nan Lwe Kwel local development group are involving and coordinating with Helping Hands in the local development activities. In 2014, Helping Hands organized conference on democracy talk with the support of Dana Shae Saung Myanmar from Yangon, 88 generation (Kalay) and upper Chindwin youth network and the participants from different stakeholders included township and Regional level political leaders, government departments and civil society. HHO organized women conference and meeting for land issue/confiscation. From 2014 March to 2015, in partnership with FSWG, the project of multi-agriculture and livestock breeding was implemented by LIFT support. For Women Empowerment, HHO give Microfinance to the Home Shop owners and Women handmade, weaver. Women Weaving Group is begin in 2013, and Helping Hands Credit Union is form in 2014 then, there is about 300 members, 98% is women.","Helping Hands office, Kalay, Chin State, Myanmar (Burma)"
3,Stiftunglife,"Die Stiftunglife ist eine 1989 gegründete deutsche gemeinnützige Stiftung, die am besten für ihre Unterstützung der Tafeln zur Ausgabe von Lebensmitteln an Bedürftige bekannt ist. Sie verfolgt jedoch den Grundsatz, dass ihre Mittel je zur Hälfte in Deutschland für die Tafeln und benachbarte Tätigkeiten und zur anderen Hälfte im Ausland eingesetzt werden. Der Schwerpunkt in Myanmar liegt in der Förderung Studenten, denen ein Studium ermöglicht wird, im Bau von Schulen und im Betrieb der Swimming Doctors, die die medizinische Versorgung im Delta verbessern. Die Wasserqualität an den inzwischen über 50 Schulen wird durch PAUL, einem Wasserfilter, verbessert. In Dörfern ohne Elektrizität werden die Kerosinlampen durch sauberes Solarlicht ersetzt und in Bagan wird gerade eine Plastikrecyclingfabrik gebaut.","Yangon, Yangon Region, Myanmar (Burma)"
4,Yello generation wave,We are providing children all over the country and providing education aid.,89MILE 5FALLON YANGON MANDALAY HIGHWAY ROAD
5,Brainworks-Total International School Yangon,"Brainworks-Total Group of schools are located in the Southeast Asian country of Myanmar. In the Ten years since our founding, Brainworks-Total Group of Schools has expanded to 11 branches with over 2500 very motivated students, and 400 dedicated teachers","41, Myanmar (Burma)"
6,Australia-Asia Program to Combat Trafficking in Persons,"The Australia-Asia Program to Combat Trafficking in Persons (AAPTIP: 2013-18) builds on the success of ARCPPT and ARTIP. AAPTIP will operate at both regional and national levels. It will provide support to the Association of South East Asian Nations (ASEAN), working with the ASEAN Secretariat (ASEC), regional anti-human trafficking bodies and individual partner countries.Human trafficking is the illegal trading of human beings for the purpose of labour, sexual and other forms of exploitation. It is a crime that can occur within a country or across national borders. Trafficking contravenes fundamental human rights, denying basic and broadly accepted individual freedoms to women, men and children all over the world. It has wide economic, social and political impacts, and has serious consequences for development in South East Asia.Diverse but integrated responses are needed to effectively combat human trafficking through prevention, prosecution and protection. Since 2003, Australia has invested more than $50 million across these three approaches. Australia is one of the few donors to support the criminal justice response to human trafficking through the Asia Regional Cooperation to Prevent People Trafficking (ARCPPT: 2003-6) and the Asia Regional Trafficking in Persons Project (ARTIP: 2006-12).AAPTIP GOALTo reduce the incentives and opportunities for the trafficking of persons in the ASEAN region.AAPTIP OBJECTIVESAssistance will be provided to regional and national stakeholders to achieve the following outcomes:– Law enforcement agencies improve the effective and ethical investigation of human trafficking cases;– Prosecutors improve the effective and ethical prosecution of human trafficking cases;– Judges and court officials improve the fair and timely adjudication of human trafficking cases;– Regional bodies enhance regional cooperation and leadership on the criminal justice response to human trafficking in the ASEAN region.Working through existing local planning and delivery mechanisms, AAPTIP will support the development and implementation of work plans by counterparts at two levels:national, by supporting annual plans developed by each national program steering committee;regional, by supporting the ASEAN Secretariat, the ASEAN Trafficking in Persons Working Group of the Senior Officers Meeting on Transnational Crime (SOMTC TIP WG), and the Heads of Specialist Unit (HSU) processSTAFFING & SUPPORTAAPTIP is managed by AAPTIP DFATs Asia Regional Programs office in Thailand.Cardno Emerging Markets, the Implementation Service Provider, is based in Thailand, with national country program coordinators and national monitoring and evaluation officers in Cambodia, Indonesia, Lao PDR, Myanmar, Philippines, Thailand and Vietnam.AAPTIP will provide high quality technical advice and support through a team of internationally experienced and qualified specialists.DFATs East Asia Regional has appointed a Partnership and Advocacy Manager, based in Thailand, to drive Australia strategic dialogue on trafficking with key stakeholders.","No. 100, Kan Kaw Myaing Road, Parami, Yankin Township, Yangon, Myanmar"
7,Agency for Education of the Poor Rural Youth,Agency for Education of the Poor Rural Youth (AEPRY) is a temporary registered non-government organization in Myanmar. AEPRY mainly focus on sustainable rural development and job oriented education.,"Yangon, Yangon Region, Myanmar (Burma)"
8,"Zomi Innkuan USA, Inc.","Zomi Innkuan USA is incorporated in the State of Oklahoma andexempt from Federal Income Tax as a Public Charity of Section 501(c) 3,with EIN # 26-4145898.Zomi Innkuan USA, Inc. is in Consultative Status withUnited Nations Economic and Social Council since July 2014.","7438 S. 95th East Ave. Tulsa, OK 74133, USA"
9,International Schools in Yangon,Providing best educational services in Yangon Myanmar,"Brainworks-Total K-12 Integrated School, 1 Thumingalar Street, 16/4 Quarter, Thingangyun, Yangon, Union of Myanmar"
