,status,team,description
0,Not Started,,
1,Not Started,,
2,Not Started,,
3,Not Started,,
4,Not Started,,
5,Not Started,,
6,Not Started,,
7,Not Started,,
8,Not Started,,
9,Not Started,,
10,Not Started,,
11,Not Started,,
12,Not Started,,
13,Not Started,,
14,Not Started,,
15,Not Started,,
16,Not Started,,
17,Not Started,,
18,Not Started,,
19,Not Started,,
20,Not Started,,
21,Not Started,,
22,Not Started,,
23,Not Started,,
24,Not Started,,
25,Not Started,,
26,Not Started,,
27,Not Started,,
28,Not Started,,
29,Not Started,,
30,Not Started,,
31,Not Started,,
32,Not Started,,
33,Not Started,,
34,Not Started,,
35,Not Started,,
36,Not Started,,
37,Not Started,,
38,Not Started,,
39,Not Started,,
40,Not Started,,
41,Not Started,,
42,Not Started,,
43,Not Started,,
44,Not Started,,
45,Not Started,,
46,Not Started,,
47,Not Started,,
48,Not Started,,
49,Not Started,,
50,Not Started,,
51,Not Started,,
52,Not Started,,
53,Not Started,,
54,Not Started,,
55,Not Started,,
56,Not Started,,
57,Not Started,,
58,Not Started,,
59,Not Started,,
60,Not Started,,
61,Not Started,,
62,Not Started,,
63,Not Started,,
64,Not Started,,
65,Not Started,,
66,Not Started,,
67,Not Started,,
68,Not Started,,
69,Not Started,,
70,Not Started,,
71,Not Started,,
72,Not Started,,
73,Not Started,,
74,Not Started,,
75,Not Started,,
76,Not Started,,
77,Not Started,,
78,Not Started,,
79,Not Started,,
80,Not Started,,
81,Not Started,,
82,Not Started,,
83,Not Started,,
84,Not Started,,
85,Not Started,,
86,Not Started,,
87,Not Started,,
88,Not Started,,
89,Not Started,,
90,Not Started,,
91,Not Started,,
92,Not Started,,
93,Not Started,,
94,Not Started,,
95,Not Started,,
96,Not Started,,
97,Not Started,,
98,Not Started,,
99,Not Started,,
100,Not Started,,
101,Not Started,,
102,Not Started,,
103,Not Started,,
104,Not Started,,
105,Not Started,,
106,Not Started,,
107,Not Started,,
108,Not Started,,
109,Not Started,,
110,Not Started,,
111,Not Started,,
112,Not Started,,
113,Not Started,,
114,Not Started,,
115,Not Started,,
116,Not Started,,
117,Not Started,,
118,Not Started,,
119,Not Started,,
120,Not Started,,
121,Not Started,,
122,Not Started,,
123,Not Started,,
124,Not Started,,
