,organisation,notes,name
0,local-authority-eng:WOT,". Demolition of the former Worthing Aquarena and car park. Erection of 141 residential apartments within blocks ranging from 4-15 storeys in height, including affordable housing, a 641 sq.m (unspecified use class) commercial unit, a 138 sq.m Pavilion/Cafe, public and private open space, 172 resident's parking spaces and 51 public car parking spaces, with associated landscaping and access arrangements.. Planning Ref: AWDM/1633/16",Worthing Borough Council
1,local-authority-eng:WOT,". Application for permitted development for prior approval for change of use of 2nd, 3rd, 4th and 5th floor offices only (Use Class B1a) to 11 no. self-contained flats (C3 Use Class) comprising 4 no. 1 bed flats and 7 no. 2 bed flats.. Planning Ref:              Notice /0013/17",Worthing Borough Council
2,local-authority-eng:WOT,. Conversion of first and second floor and extension to second floor to create 3 no. one bedroom and 2 no. two bedrooms flats. Planning Ref: AWDM/0919/17,Worthing Borough Council
3,local-authority-eng:WOT,". Demolition of existing buildings at 25-26 West Parade and 4 Grand Avenue and residential redevelopment in the form of a block of 29 flats arranged as 3 storeys tall and rising to 8 storeys together with associated 40 car parking spaces (including 31 in basement), new accesses and landscaping. Planning Ref: AWDM/1713/16",Worthing Borough Council
4,local-authority-eng:WOT,This site is in private ownership. The Council is currently working with the new owners of this site to bring forward a planning application. The Council has recently been successful in securing funding from the Governments Local Growth Fund with a view to help unlock brownfield sites like the one. The site owners are undertaking a public consultation exercise on a proposed scheme  in November 2017 .. SHLAA Ref: WB08039,Worthing Borough Council
5,local-authority-eng:WOT,"This site together with WBCBR15 are located within an Area of Change 4 in the current Core Strategy. The SHLAA divides the site in two with the land previously occupied by Sussex Police identified as WB08042 and remainder of AOC4 as WB08041.  The sites are considered to be ""Potential""; sites in the SHLAA. It is considered that this site has the potential to deliver approximately 195 residential units.. SHLAA Ref: WB08041",Worthing Borough Council
6,local-authority-eng:WOT,"This privately owned site is an Area of Change in the current Core Strategy (AOC4). Negotiations are ongoing with the owners about the extent of the site and the potential uses.  In addition the Council has recently been successful in securing funding from the Governments Local Growth Fund with a view to help unlock brownfield sites like the one. The site could deliver a mixed use development comprising residential, commercial and leisure uses.(See WBCBR14). SHLAA Ref: WB08042",Worthing Borough Council
7,local-authority-eng:WOT,"This is a Council owned site that is considered capable of delivering both housing and health facilities. The Council is working closely with health providers to assess their requirements for the site.  It is considered that the site could deliver a mixed use scheme with residential, a new purpose built health care hub and parking .. SHLAA Ref: WB08044",Worthing Borough Council
8,local-authority-eng:WOT,This privately owned site is included as an Area of Change in the Core Strategy (AOC2).  The owners have indicated their desire to relocate the bus depot and release this site. Decoy Farm (AOC 12) is a potential relocation site if contamination can be addressed. The Council is actively working with the land owners to bring forward this site. It is considered that the site is suitable for a mix of uses including residential.. SHLAA Ref: WB08046,Worthing Borough Council
9,local-authority-eng:WOT,This site is identified as an Area of Change (AOC7) within the Core Strategy. The site is privately owned by 2 separate owners. The owners have confirmed their intention to redevelop the site with the possibility of a comprehensive development. An application to demolish the redundant gasholder onsite has recently been approved (AWDM/1949/16-08/02/2017). It is expected that the site could deliver approximately 85 residential units.. SHLAA Ref: WB08048,Worthing Borough Council
